"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","host","2.1.0","USB","36","GET DESCRIPTOR Request DEVICE"
"2","0.000000","2.1.0","host","USB","46","GET DESCRIPTOR Response DEVICE"
"3","0.000000","host","2.1.0","USB","36","GET DESCRIPTOR Request CONFIGURATION"
"4","0.000000","2.1.0","host","USB","53","GET DESCRIPTOR Response CONFIGURATION"
"5","0.000000","host","2.1.0","USB","36","SET CONFIGURATION Request"
"6","0.000000","2.1.0","host","USB","28","SET CONFIGURATION Response"
"7","0.000000","host","2.4.0","USB","36","GET DESCRIPTOR Request DEVICE"
"8","0.000000","2.4.0","host","USB","46","GET DESCRIPTOR Response DEVICE"
"9","0.000000","host","2.4.0","USB","36","GET DESCRIPTOR Request CONFIGURATION"
"10","0.000000","2.4.0","host","USB","137","GET DESCRIPTOR Response CONFIGURATION"
"11","0.000000","host","2.4.0","USB","36","SET CONFIGURATION Request"
"12","0.000000","2.4.0","host","USB","28","SET CONFIGURATION Response"
"13","0.000000","host","2.5.0","USB","36","GET DESCRIPTOR Request DEVICE"
"14","0.000000","2.5.0","host","USB","46","GET DESCRIPTOR Response DEVICE"
"15","0.000000","host","2.5.0","USB","36","GET DESCRIPTOR Request CONFIGURATION"
"16","0.000000","2.5.0","host","USB","87","GET DESCRIPTOR Response CONFIGURATION"
"17","0.000000","host","2.5.0","USB","36","SET CONFIGURATION Request"
"18","0.000000","2.5.0","host","USB","28","SET CONFIGURATION Response"
"19","9.954025","2.1.1","host","USB","28","URB_INTERRUPT in"
"20","9.955400","host","2.1.1","USB","27","URB_INTERRUPT in"
"21","10.070023","2.1.1","host","USB","28","URB_INTERRUPT in"
"22","10.071523","host","2.1.1","USB","27","URB_INTERRUPT in"
"23","10.124334","host","2.2.0","USB","36","GET DESCRIPTOR Request DEVICE"
"24","10.124635","2.2.0","host","USB","46","GET DESCRIPTOR Response DEVICE"
"25","10.124652","host","2.2.0","USB","36","GET DESCRIPTOR Request CONFIGURATION"
"26","10.125021","2.2.0","host","USB","37","GET DESCRIPTOR Response CONFIGURATION"
"27","10.125040","host","2.2.0","USB","36","GET DESCRIPTOR Request CONFIGURATION"
"28","10.125383","2.2.0","host","USB","60","GET DESCRIPTOR Response CONFIGURATION"
"29","10.125402","host","2.2.0","USB","36","GET DESCRIPTOR Request STRING"
"30","10.125761","2.2.0","host","USB","30","GET DESCRIPTOR Response STRING[Malformed Packet]"
"31","10.125783","host","2.2.0","USB","36","GET DESCRIPTOR Request STRING"
"32","10.126133","2.2.0","host","USB","32","GET DESCRIPTOR Response STRING"
"33","10.126153","host","2.2.0","USB","36","GET DESCRIPTOR Request STRING"
"34","10.126509","2.2.0","host","USB","30","GET DESCRIPTOR Response STRING"
"35","10.126530","host","2.2.0","USB","36","GET DESCRIPTOR Request STRING"
"36","10.126885","2.2.0","host","USB","54","GET DESCRIPTOR Response STRING"
"37","10.128579","host","2.2.0","USB","36","SET CONFIGURATION Request"
"38","10.129023","2.2.0","host","USB","28","SET CONFIGURATION Response"
"39","10.129037","host","2.2.0","USB","36","SET INTERFACE Request"
"40","10.129151","2.2.0","host","USB","28","SET INTERFACE Response"
"41","10.129155","host","2.2.0","USBMS","36","GET MAX LUN Request"
"42","10.129382","2.2.0","host","USBMS","29","GET MAX LUN Response"
"43","10.129393","host","2.2.2","USBMS","58","SCSI Inquiry LUN: 0x00 "
"44","10.129435","2.2.2","host","USB","27","URB_BULK out"
"45","10.129437","host","2.2.1","USB","27","URB_BULK in"
"46","11.109012","2.4.2","host","USB","36","URB_INTERRUPT in"
"47","11.109045","host","2.4.2","USB","27","URB_INTERRUPT in"
"48","11.117000","2.4.2","host","USB","36","URB_INTERRUPT in"
"49","11.117017","host","2.4.2","USB","27","URB_INTERRUPT in"
"50","11.124000","2.4.2","host","USB","36","URB_INTERRUPT in"
"51","11.124019","host","2.4.2","USB","27","URB_INTERRUPT in"
"52","11.126828","2.2.1","host","USBMS","63","[SCSI transfer limited due to allocation_length too small]"
"53","11.126842","host","2.2.1","USB","27","URB_BULK in"
"54","11.126877","2.2.1","host","USBMS","40",""
"55","11.126923","host","2.2.2","USBMS","58","SCSI Inquiry LUN: 0x00 "
"56","11.126945","2.2.2","host","USB","27","URB_BULK out"
"57","11.126947","host","2.2.1","USB","27","URB_BULK in"
"58","11.131999","2.4.2","host","USB","36","URB_INTERRUPT in"
"59","11.132019","host","2.4.2","USB","27","URB_INTERRUPT in"
"60","11.138999","2.4.2","host","USB","36","URB_INTERRUPT in"
"61","11.139018","host","2.4.2","USB","27","URB_INTERRUPT in"
"62","11.147012","2.4.2","host","USB","36","URB_INTERRUPT in"
"63","11.147030","host","2.4.2","USB","27","URB_INTERRUPT in"
"64","11.154001","2.4.2","host","USB","36","URB_INTERRUPT in"
"65","11.154019","host","2.4.2","USB","27","URB_INTERRUPT in"
"66","11.161999","2.4.2","host","USB","36","URB_INTERRUPT in"
"67","11.162017","host","2.4.2","USB","27","URB_INTERRUPT in"
"68","11.168998","2.4.2","host","USB","36","URB_INTERRUPT in"
"69","11.169013","host","2.4.2","USB","27","URB_INTERRUPT in"
"70","11.176999","2.4.2","host","USB","36","URB_INTERRUPT in"
"71","11.177015","host","2.4.2","USB","27","URB_INTERRUPT in"
"72","11.183999","2.4.2","host","USB","36","URB_INTERRUPT in"
"73","11.184019","host","2.4.2","USB","27","URB_INTERRUPT in"
"74","11.191998","2.4.2","host","USB","36","URB_INTERRUPT in"
"75","11.192018","host","2.4.2","USB","27","URB_INTERRUPT in"
"76","11.198998","2.4.2","host","USB","36","URB_INTERRUPT in"
"77","11.199017","host","2.4.2","USB","27","URB_INTERRUPT in"
"78","11.207001","2.4.2","host","USB","36","URB_INTERRUPT in"
"79","11.207017","host","2.4.2","USB","27","URB_INTERRUPT in"
"80","11.214002","2.4.2","host","USB","36","URB_INTERRUPT in"
"81","11.214017","host","2.4.2","USB","27","URB_INTERRUPT in"
"82","11.221999","2.4.2","host","USB","36","URB_INTERRUPT in"
"83","11.222017","host","2.4.2","USB","27","URB_INTERRUPT in"
"84","11.228997","2.4.2","host","USB","36","URB_INTERRUPT in"
"85","11.229012","host","2.4.2","USB","27","URB_INTERRUPT in"
"86","11.236998","2.4.2","host","USB","36","URB_INTERRUPT in"
"87","11.237015","host","2.4.2","USB","27","URB_INTERRUPT in"
"88","11.243999","2.4.2","host","USB","36","URB_INTERRUPT in"
"89","11.244014","host","2.4.2","USB","27","URB_INTERRUPT in"
"90","11.251999","2.4.2","host","USB","36","URB_INTERRUPT in"
"91","11.252014","host","2.4.2","USB","27","URB_INTERRUPT in"
"92","11.258998","2.4.2","host","USB","36","URB_INTERRUPT in"
"93","11.259017","host","2.4.2","USB","27","URB_INTERRUPT in"
"94","11.266997","2.4.2","host","USB","36","URB_INTERRUPT in"
"95","11.267015","host","2.4.2","USB","27","URB_INTERRUPT in"
"96","11.273997","2.4.2","host","USB","36","URB_INTERRUPT in"
"97","11.274015","host","2.4.2","USB","27","URB_INTERRUPT in"
"98","11.281998","2.4.2","host","USB","36","URB_INTERRUPT in"
"99","11.282018","host","2.4.2","USB","27","URB_INTERRUPT in"
"100","11.289001","2.4.2","host","USB","36","URB_INTERRUPT in"
"101","11.289018","host","2.4.2","USB","27","URB_INTERRUPT in"
"102","11.297006","2.4.2","host","USB","36","URB_INTERRUPT in"
"103","11.297021","host","2.4.2","USB","27","URB_INTERRUPT in"
"104","11.303996","2.4.2","host","USB","36","URB_INTERRUPT in"
"105","11.304014","host","2.4.2","USB","27","URB_INTERRUPT in"
"106","11.311997","2.4.2","host","USB","36","URB_INTERRUPT in"
"107","11.312015","host","2.4.2","USB","27","URB_INTERRUPT in"
"108","11.318999","2.4.2","host","USB","36","URB_INTERRUPT in"
"109","11.319016","host","2.4.2","USB","27","URB_INTERRUPT in"
"110","11.326997","2.4.2","host","USB","36","URB_INTERRUPT in"
"111","11.327014","host","2.4.2","USB","27","URB_INTERRUPT in"
